day_before,day_after,item_before,item_after,ba_detect
2022-09-16,2022-09-21,S2A_MSIL2A_20220916T132241_N0400_R038_T22LHH_20220916T202057,S2B_MSIL2A_20220921T132239_N0400_R038_T22LHH_20220921T170550,1
2022-09-21,2022-09-24,S2B_MSIL2A_20220921T132239_N0400_R038_T22LHH_20220921T170550,S2B_MSIL2A_20220924T133149_N0400_R081_T22LHH_20220924T154251,0
